pasma,mesto,skupina,min_starost,max_starost,min_visina,max_visina,min_teza,max_teza,nega,hitrost_ucenja,temperament,opis
Chihuahua,33,Toy,14,16,5,8,,,Occasional Bath/Brush,Independent,Alert/Responsive,"A graceful, alert, swift-moving compact little dog with saucy expression, and with terrier-like qualities of temperament.  Size, Proportion, Substance: Weight &#8211; A well balanced little dog not to exceed 6 pounds. Proportion &#8211; The body is off-square; hence, slightly longer when measured from point of shoulder to point of buttocks than height at the withers. Somewhat shorter bodies are preferred in males. Disqualification &#8211; Any dog over 6 pounds in weight."

Miniature American Shepherd,34,Herding,12,13,13.5,17.5,20,40,Daily Brushing,Eager to Please,Friendly,"The Miniature American Shepherd is a small size herding dog that originated in the United States. He is slightly longer than tall with bone that is moderate and in proportion to body size and height without extremes. Movement is smooth, easy, and balanced. Exceptional agility combined with strength and stamina allows for working over a variety of terrain. This highly versatile, energetic dog makes an excellent athlete with superior intelligence and a willingness to please those to whom he is devoted. He is both a loyal companion and a biddable worker, which is evident in his watchful expression. The double coat of medium length and coarseness may be solid in color or merled, with or without white and/or tan (copper) markings. He traditionally has a docked or natural bobtail."

Border Collie,35,Herding,12,15,18.5,21.5,30,55,2-3 Times a Week Brushing,Eager to Please,Reserved with Strangers,"The Border Collie is a well balanced, medium-sized dog of athletic appearance, displaying style and agility in equal measure with soundness and strength. Its hard, muscular body conveys the impression of effortless movement and endless endurance. The Border Collie is extremely intelligent, with its keen, alert expression being a very important characteristic of the breed. Any aspect of structure or temperament that would impede the dog&#8217;s ability to function as a herding dog should be severely faulted. The Border Collie is, and should remain, a natural and unspoiled true working sheepdog whose conformation is described herein. Honorable scars and broken teeth incurred in the line of duty are acceptable."

Weimaraner,36,Sporting,10,13,24.0,26.0,62.5,82.5,Weekly Brushing,Eager to Please,Friendly,"A medium-sized gray dog, with fine aristocratic features. He should present a picture of grace, speed, stamina, alertness and balance. Above all, the dog&#8217;s conformation must indicate the ability to work with great speed and endurance in the field."

Maltese,37,Toy,12,15,7,9,,,Daily Brushing,Agreeable,Outgoing,"The Maltese is a toy dog covered from head to foot with a mantle of long, silky, white hair. He is gentle-mannered and affectionate, eager and sprightly in action, and, despite his size, possessed of the vigor needed for the satisfactory companion. <strong>Size:</strong> Weight under 7 pounds, with from 4 to 6 pounds preferred. Overall quality is to be favored over size."

Collie,38,Herding,12,14,23.0,25.0,55.0,70.0,2-3 Times a Week Brushing,Easy Training,Friendly,"The Collie is a lithe, strong, responsive, active dog, carrying no useless timber, standing naturally straight and firm. The deep, moderately wide chest shows strength, the sloping shoulders and well-bent hocks indicate speed and grace, and the face shows high intelligence. The Collie presents an impressive, proud picture of true balance, each part being in harmonious proportion to every other part and to the whole. Except for the technical description that is essential to this Standard and without which no Standard for the guidance of breeders and judges is adequate, it could be stated simply that no part of the Collie ever seems to be out of proportion to any other part. Timidity, frailness, sullenness, viciousness, lack of animation, cumbersome appearance and lack of over-all balance impair the general character."

Basset Hound,39,Hound,12,13,,,40,65,2-3 Times a Week Brushing,Independent,Friendly,"The Basset Hound possesses in marked degree those characteristics which equip it admirably to follow a trail over and through difficult terrain. It is a short-legged dog, heavier in bone, size considered, than any other breed of dog, and while its movement is deliberate, it is in no sense clumsy. In temperament it is mild, never sharp or timid. It is capable of great endurance in the field and is extreme in its devotion."

French Bulldog,4,Non-Sporting,10,12,11,13,,,Occasional Bath/Brush,Agreeable,Alert/Responsive,"The French Bulldog has the appearance of an active, intelligent, muscular dog of heavy bone, smooth coat, compactly built, and of medium or small structure. Expression alert, curious, and interested. Any alteration other than removal of dewclaws is considered mutilation and is a disqualification. <strong>Proportion and Symmetry</strong> &#8211; All points are well distributed and bear good relation one to the other; no feature being in such prominence from either excess or lack of quality that the animal appears poorly proportioned."

Newfoundland,40,Working,9,10,,,115.0,135.0,Weekly Brushing,Easy Training,Friendly,"The Newfoundland is a sweet-dispositioned dog that acts neither dull nor ill-tempered. He is a devoted companion. The Newfoundland is a large, heavily coated, well balanced dog that is deep-bodied, heavily boned, muscular, and strong. A good specimen of the breed has dignity and proud head carriage."

Rhodesian Ridgeback,41,Hound,,,24.5,26.5,,,Weekly Brushing,Independent,Alert/Responsive,"The Ridgeback represents a strong, muscular and active hound, symmetrical and balanced in outline. A mature Ridgeback is a handsome, upstanding and athletic dog, capable of great endurance with a fair (good) amount of speed. Of even, dignified temperament, the Ridgeback is devoted and affectionate to his master, reserved with strangers. The peculiarity of this breed is the ridge on the back. The ridge must be regarded as the characteristic feature of the breed."

West Highland White Terrier,42,Terrier,13,15,,,15,20,Daily Brushing,Agreeable,Friendly,"The West Highland White Terrier is a small, game, well-balanced hardy looking terrier, exhibiting good showmanship, possessed with no small amount of self-esteem, strongly built, deep in chest and back ribs, with a straight back and powerful hindquarters on muscular legs, and exhibiting in marked degree a great combination of strength and activity. The coat is about two inches long, white in color, hard, with plenty of soft undercoat. The dog should be neatly presented, the longer coat on the back and sides, trimmed to blend into the shorter neck and shoulder coat. Considerable hair is left around the head to act as a frame for the face to yield a typical Westie expression."

Belgian Malinois,43,Herding,14,16,23.0,25.0,50.0,70.0,Weekly Brushing,Easy Training,Reserved with Strangers,"The Belgian Malinois is a well balanced, square dog, elegant in appearance with an exceedingly proud carriage of the head and neck. The dog is strong, agile, well muscled, alert, and full of life. He stands squarely on all fours and viewed from the side, the topline, forelegs, and hind legs closely approximate a square. The whole conformation gives the impression of depth and solidity without bulkiness. The male is usually somewhat more impressive and grand than his female counterpart, which has a distinctly feminine look."

Shiba Inu,44,Non-Sporting,13,16,13.5,15.5,,,Weekly Brushing,Independent,Reserved with Strangers,"The Shiba is the smallest of the Japanese native breeds of dog and was originally developed for hunting by sight and scent in the dense undergrowth of Japan&#8217;s mountainous areas. Alert and agile with keen senses, he is also an excellent watchdog and companion. His frame is compact with well-developed muscles. Males and females are distinctly different in appearance: males are masculine without coarseness, females are feminine without weakness of structure."

Chesapeake Bay Retriever,45,Sporting,10,13,22.0,25.0,60.0,75.0,2-3 Times a Week Brushing,Agreeable,Reserved with Strangers,"The breed&#8217;s characteristics are specifically suited to enable the Chesapeake to function with ease, efficiency and endurance. In head, the Chesapeake&#8217;s skull is broad and round with a medium stop. The jaws should be of sufficient length and strength to carry large game birds with an easy, tender hold. The double coat consists of a short, harsh, wavy outer coat and a dense, fine, wooly undercoat containing an abundance of natural oil and is ideally suited for the icy rugged conditions of weather the Chesapeake often works in. In body, the Chesapeake is a strong, well-balanced, powerfully built animal of moderate size and medium length in body and leg, deep and wide in chest, the shoulders built with full liberty of movement, and with no tendency to weakness in any feature, particularly the rear."

Bichon Frise,46,Non-Sporting,14,15,,,12,18,Specialty/Professional,Agreeable,Outgoing,"The Bichon Frise is a small, sturdy, white powder puff of a dog whose merry temperament is evidenced by his plumed tail carried jauntily over the back and his dark-eyed inquisitive expression.  This is a breed that has no gross or incapacitating exaggerations and therefore there is no inherent reason for lack of balance or unsound movement. Any deviation from the ideal described in the standard should be penalized to the extent of the deviation. Structural faults common to all breeds are as undesirable in the Bichon Frise as in any other breed, even though such faults may not be specifically mentioned in the standard."

Akita,47,Working,10,13,25.0,27.0,85.0,115.0,Daily Brushing,Eager to Please,Alert/Responsive,"Large, powerful, alert, with much substance and heavy bone. The broad head, forming a blunt triangle, with deep muzzle, small eyes and erect ears carried forward in line with back of neck, is characteristic of the breed. The large, curled tail, balancing the broad head, is also characteristic of the breed."

Saint Bernard,48,Working,8,10,,,130.0,160.0,Weekly Brushing,Agreeable,Friendly,"Powerful, proportionately tall figure, strong and muscular in every part, with powerful head and most intelligent expression. In dogs with a dark mask the expression appears more stern, but never ill-natured."

Bloodhound,49,Hound,10,12,24.0,26.0,85.0,105.0,Weekly Brushing,Independent,Alert/Responsive,"The Bloodhound possesses, in a most marked degree, every point and characteristic of those dogs which hunt together by scent (Sagaces). He is very powerful, and stands over more ground than is usual with hounds of other breeds. The skin is thin to the touch and extremely loose, this being especially noticeable about the head and neck, where it hangs in deep folds."

Bulldog,5,Non-Sporting,8,10,14,15,,,2-3 Times a Week Brushing,Agreeable,Friendly,"The perfect Bulldog must be of medium size and smooth coat; with heavy, thick-set, low-swung body, massive short-faced head, wide shoulders and sturdy limbs. The general appearance and attitude should suggest great stability, vigor and strength. The disposition should be equable and kind, resolute and courageous (not vicious or aggressive), and demeanor should be pacific and dignified. These attributes should be countenanced by the expression and behavior."

Portuguese Water Dog,50,Working,11,13,18.5,22.0,38.5,55.0,Daily Brushing,Easy Training,Alert/Responsive,"This highly intelligent utilitarian breed is distinguished by two coat types, either curly or wavy; an impressive head of considerable breadth and well proportioned mass; a ruggedly built, well-knit body; and a powerful, thickly based tail, carried gallantly or used purposefully as a rudder. The Portuguese Water Dog provides an indelible impression of strength, spirit, and soundness."

Bullmastiff,51,Working,7,9,24.5,26.5,105.0,125.0,Occasional Bath/Brush,Agreeable,Alert/Responsive,"That of a symmetrical animal, showing great strength, endurance, and alertness; powerfully built but active. The foundation breeding was 60 percent Mastiff and 40 percent Bulldog. The breed was developed in England by gamekeepers for protection against poachers."

English Cocker Spaniel,52,Sporting,12,14,15.5,16.5,27.0,33.0,2-3 Times a Week Brushing,Eager to Please,Friendly,"The English Cocker Spaniel is an active, merry sporting dog, standing well up at the withers and compactly built. He is alive with energy; his gait is powerful and frictionless, capable both of covering ground effortlessly and penetrating dense cover to flush and retrieve game. His enthusiasm in the field and the incessant action of his tail while at work indicate how much he enjoys the hunting for which he was bred. His head is especially characteristic. He is, above all, a dog of balance, both standing and moving, without exaggeration in any part, the whole worth more than the sum of its parts."

Soft Coated Wheaten Terrier,53,Terrier,12,14,17.5,18.5,32.5,37.5,2-3 Times a Week Brushing,Independent,Alert/Responsive,"The Soft Coated Wheaten Terrier is a medium-sized, hardy, well balanced sporting terrier, square in outline. He is distinguished by his soft, silky, gently waving coat of warm wheaten color and his particularly steady disposition. The breed requires moderation both in structure and presentation, and any exaggerations are to be shunned. He should present the overall appearance of an alert and happy animal, graceful, strong and well coordinated."

Papillon,54,Toy,14,16,8,11,5,10,Weekly Brushing,Eager to Please,Outgoing,"The Papillon is a small, friendly, elegant toy dog of fine-boned structure, light, dainty and of lively action; distinguished from other breeds by its beautiful butterfly-like ears."

Australian Cattle Dog,55,Herding,12,16,17.5,19.5,35,50,Occasional Bath/Brush,May be Stubborn,Reserved with Strangers,"The general appearance is that of a strong compact, symmetrically built working dog, with the ability and willingness to carry out his allotted task however arduous. Its combination of substance, power, balance and hard muscular condition must convey the impression of great agility, strength and endurance. Any tendency to grossness or weediness is a serious fault."

Dalmatian,56,Non-Sporting,11,13,19,24,45,70,Weekly Brushing,Agreeable,Alert/Responsive,"The Dalmatian is a distinctively spotted dog; poised and alert; strong, muscular and active; free of shyness; intelligent in expression; symmetrical in outline; and without exaggeration or coarseness. The Dalmatian is capable of great endurance, combined with fair amount of speed. Deviations from the described ideal should be penalized in direct proportion to the degree of the deviation."

Scottish Terrier,57,Terrier,,,,,18.5,21.5,2-3 Times a Week Brushing,Independent,Alert/Responsive,"The Scottish Terrier is a small, compact, short-legged, sturdily-built dog of good bone and substance. His head is long in proportion to his size. He has a hard, wiry, weather-resistant coat and a thick-set, cobby body which is hung between short, heavy legs. These characteristics, joined with his very special keen, piercing, &#8220;varminty&#8221; expression, and his erect ears and tail are salient features of the breed. The Scottish Terrier&#8217;s bold, confident, dignified aspect exemplifies power in a small package."

Alaskan Malamute,58,Working,10,14,,,,,2-3 Times a Week Brushing,Independent,Friendly,"The Alaskan Malamute, one of the oldest Arctic sled dogs, is a powerful and substantially built dog with a deep chest and strong, well-muscled body. The Malamute stands well over the pads, and this stance gives the appearance of much activity and a proud carriage, with head erect and eyes alert showing interest and curiosity. The head is broad. Ears are triangular and erect when alerted. The muzzle is bulky, only slight diminishing in width from root to nose. The muzzle is not pointed or long, yet not stubby. The coat is thick with a coarse guard coat of sufficient length to protect a woolly undercoat. Malamutes are of various colors. Face markings are a distinguishing feature. These consist of a cap over the head, the face either all white or marked with a bar and/or mask. The tail is well furred, carried over the back, and has the appearance of a waving plume."

Samoyed,59,Working,12,14,20.0,22.0,40.0,57.5,2-3 Times a Week Brushing,Independent,Friendly,"The Samoyed, being essentially a working dog, should present a picture of beauty, alertness and strength, with agility, dignity and grace. As his work lies in cold climates, his coat should be heavy and weather-resistant, well groomed, and of good quality rather than quantity. Males should be masculine in appearance and deportment without unwarranted aggressiveness; bitches should be feminine without weakness of structure or apparent softness of temperament. Bitches may be slightly longer in back than males. They should both give the appearance of being capable of great endurance but be free from coarseness. Because of the depth of chest required, the legs should be moderately long. General appearance should include movement and general conformation, indicating balance and good substance."

Beagle,6,Hound,10,15,,,,,2-3 Times a Week Brushing,Agreeable,Friendly,"A miniature Foxhound, solid and big for his inches, with the wear-and-tear look of the hound that can last in the chase and follow his quarry to the death."

Airedale Terrier,60,Terrier,11,14,,,50,70,2-3 Times a Week Brushing,Eager to Please,Friendly,

Whippet,61,Hound,12,15,18.5,21.5,25,40,Occasional Bath/Brush,Independent,Reserved with Strangers,

Bull Terrier,62,Terrier,12,13,21,22,50,70,Weekly Brushing,Independent,Friendly,"The Bull Terrier must be strongly built, muscular, symmetrical and active, with a keen determined and intelligent expression, full of fire but of sweet disposition and amenable to discipline."

German Wirehaired Pointer,63,Sporting,14,16,,,50,70,Weekly Brushing,Eager to Please,Reserved with Strangers,"The German Wirehaired Pointer is a well muscled, medium sized dog of distinctive appearance. Balanced in size and sturdily built, the breed&#8217;s most distinguishing characteristics are its weather resistant, wire-like coat and its facial furnishings. Typically Pointer in character and style, the German Wirehaired Pointer is an intelligent, energetic and determined hunter."

Chinese Shar-Pei,64,Non-Sporting,8,12,18,20,45,60,Occasional Bath/Brush,May be Stubborn,Reserved with Strangers,"An alert, compact dog of medium size and substance; square in profile, close coupled; the well-proportioned head slightly but not overly large for the body. The short, harsh coat, the loose skin covering the head and body, the small ears, the &#8220;hippopotamus&#8221; muzzle shape and the high set tail impart to the Shar-Pei a unique look peculiar to him alone. The loose skin and wrinkles covering the head, neck and body are superabundant in puppies but these features may be limited to the head, neck and withers in the adult."

Wirehaired Pointing Griffon,65,Sporting,12,15,21.0,23.0,42.5,60.0,Weekly Brushing,Agreeable,Alert/Responsive,"Medium sized, with a noble, square-shaped head, strong of limb, bred to cover all terrain encountered by the walking hunter. Movement showing an easy catlike gracefulness. Excels equally as a pointer in the field, or a retriever in the water. Coat is hard and coarse, never curly or woolly, with a thick undercoat of fine hair, giving an unkempt appearance. His easy trainability, devotion to family, and friendly temperament endear him to all. The nickname of &#8220;supreme gundog&#8221; is well earned."

Great Pyrenees,66,Working,10,12,26.0,30.5,,,Weekly Brushing,Independent,Reserved with Strangers,"The Great Pyrenees dog conveys the distinct impression of elegance and unsurpassed beauty combined with great overall size and majesty. He has a white or principally white coat that may contain markings of badger, gray, or varying shades of tan. He possesses a keen intelligence and a kindly, while regal, expression. Exhibiting a unique elegance of bearing and movement, his soundness and coordination show unmistakably the purpose for which he has been bred, the strenuous work of guarding the flocks in all kinds of weather on the steep mountain slopes of the Pyrenees."

Dogue de Bordeaux,67,Working,5,8,,,,,Occasional Bath/Brush,Agreeable,Alert/Responsive,"The Dogue de Bordeaux is one of the most ancient French breeds. He is a typical brachycephalic molossoid type. He is a very powerful dog, with a very muscular body yet retaining a harmonious general outline. Built rather close to the ground, the distance from the deepest point of the chest to the ground is slightly less than the depth of the chest. A massive head with proper proportions and features is an important characteristic of the breed. His serious expression, stocky and athletic build, and self assurance make him very imposing. Bitches have identical characteristics, but less prominent."

Cardigan Welsh Corgi,68,Herding,12,15,,,27.5,36.0,Weekly Brushing,Agreeable,Alert/Responsive,"Low set with moderately heavy bone and deep chest. Overall silhouette long in proportion to height, culminating in a low tail set and fox-like brush. General Impression&#8211;A handsome, powerful, small dog, capable of both speed and endurance, intelligent, sturdily built but not coarse."

Cairn Terrier,69,Terrier,13,15,,,,,Weekly Brushing,Agreeable,Friendly,"That of an active, game, hardy, small working terrier of the short-legged class; very free in its movements, strongly but not heavily built, standing well forward on its forelegs, deep in the ribs, well coupled with strong hindquarters and presenting a well-proportioned build with a medium length of back, having a hard, weather-resisting coat; head shorter and wider than any other terrier and well furnished with hair giving a general foxy expression."

Poodle (Standard),7,Non-Sporting,10,18,,,50.0,60.0,Specialty/Professional,Eager to Please,Friendly,"That of a very active, intelligent and elegant-appearing dog, squarely built, well proportioned, moving soundly and carrying himself proudly. Properly clipped in the traditional fashion and carefully groomed, the Poodle has about him an air of distinction and dignity peculiar to himself."

Miniature Pinscher,70,Toy,12,16,,,8,10,Occasional Bath/Brush,Independent,Alert/Responsive,"The Miniature Pinscher is structurally a well balanced, sturdy, compact, short-coupled, smooth-coated dog. He naturally is well groomed, proud, vigorous and alert. Characteristic traits are his hackney-like action, fearless animation, complete self-possession, and his spirited presence."

Lhasa Apso,71,Non-Sporting,12,15,,,12,18,2-3 Times a Week Brushing,Independent,Reserved with Strangers,"Reflecting his Tibetan heritage as an indoor sentinel on the Tibetan Plateau, north of the Himalayan Mountains, the Lhasa Apso is a small, sturdy, well-balanced rectangular dog of moderation possessing a level topline and a tail carried well over the back. There should be neither exaggeration of any body parts nor hint of massive bone or body. A distinguishing characteristic of the Lhasa Apso is its heavy, dense, double coat that is parted in the middle from head to tail. In addition, the Lhasa Apso has good headfall and well-feathered feet and legs as these features protected this small dog against extreme temperatures and the rough terrain of his native land."

Old English Sheepdog,72,Herding,10,12,,,60,100,2-3 Times a Week Brushing,Independent,Alert/Responsive,"A strong, compact, square, balanced dog. Taking him all around, he is profusely, <em>but not excessively coated</em>, thickset, muscular and able-bodied. These qualities, combined with his agility, fit him for the demanding tasks required of a shepherd&#8217;s or drover&#8217;s dog. Therefore, <em>soundness is of the greatest importance.</em> His bark is loud with a distinctive &#8220;pot-casse&#8221; ring in it."

Italian Greyhound,73,Toy,14,15,13,15,7,14,Occasional Bath/Brush,Independent,Aloof/Wary,"The Italian Greyhound is very similar to the Greyhound, but much smaller and more slender in all proportions and of ideal elegance and grace."

Greater Swiss Mountain Dog,74,Working,8,11,24.0,27.5,100.0,125.0,Weekly Brushing,Agreeable,Alert/Responsive,"The Greater Swiss Mountain Dog is a Draft and Drover breed and should structurally appear as such. It is a striking, tri-colored, large, powerful, confident dog of sturdy appearance. It is a heavy boned and well muscled dog which, in spite of its size and weight, is agile enough to perform the all-purpose farm duties of the mountainous regions of its origin."

Chow Chow,75,Non-Sporting,8,12,17,20,45,70,2-3 Times a Week Brushing,May be Stubborn,Reserved with Strangers,"A powerful, sturdy, squarely built, upstanding dog of Arctic type, medium in size with strong muscular development and heavy bone. The body is compact, short coupled, broad and deep, the tail set high and carried closely to the back, the whole supported by four straight, strong, sound legs. Viewed from the side, the hind legs have little apparent angulation and the hock joint and metatarsals are directly beneath the hip joint. It is this structure which produces the characteristic shorter, stilted gait unique to the breed. The large head with broad, flat skull and short, broad and deep muzzle is proudly carried and accentuated by a ruff. Elegance and substance must be combined into a well balanced whole, never so massive as to outweigh his ability to be active, alert and agile. Clothed in a smooth or an offstanding rough double coat, the Chow is a masterpiece of beauty, dignity and naturalness. Essential to true Chow type are his unique blue-black tongue, scowling expression and stilted gait."

Irish Wolfhound,76,Hound,6,8,,,,,Weekly Brushing,Independent,Alert/Responsive,"Of great size and commanding appearance, the Irish Wolfhound is remarkable in combining power and swiftness with keen sight. The largest and tallest of the galloping hounds, in general type he is a rough-coated, Greyhound-like breed; very muscular, strong though gracefully built; movements easy and active; head and neck carried high, the tail carried with an upward sweep with a slight curve towards the extremity. The minimum height and weight of dogs should be 32 inches and 120 pounds; of bitches, 30 inches and 105 pounds; these to apply only to hounds over 18 months of age. Anything below this should be debarred from competition. Great size, including height at shoulder and proportionate length of body, is the desideratum to be aimed at, and it is desired to firmly establish a race that shall average from 32 to 34 inches in dogs, showing the requisite power, activity, courage and symmetry."

Irish Setter,77,Sporting,12,15,,,,,2-3 Times a Week Brushing,Agreeable,Outgoing,"The Irish Setter is an active, aristocratic bird dog, rich red in color, substantial yet elegant in build. Standing over two feet tall at the shoulder, the dog has a straight, fine, glossy coat, longer on ears, chest, tail and back of legs. Afield, the Irish Setter is a swift-moving hunter; at home, a sweet natured, trainable companion."

Giant Schnauzer,78,Working,12,15,24.0,26.0,57.5,80.0,Daily Brushing,Easy Training,Alert/Responsive,"The Giant Schnauzer should resemble, as nearly as possible, in general appearance, a larger and more powerful version of the Standard Schnauzer, on the whole a bold and valiant figure of a dog. Robust, strongly built, nearly square in proportion of body length to height at withers, active, sturdy, and well muscled. Temperament which combines spirit and alertness with intelligence and reliability. Composed, watchful, courageous, easily trained, deeply loyal to family, playful, amiable in repose, and a commanding figure when aroused. The sound, reliable temperament, rugged build, and dense weather-resistant wiry coat make for one of the most useful, powerful, and enduring working breeds."

Chinese Crested,79,Toy,13,18,11,13,8,12,Occasional Bath/Brush,Agreeable,Friendly,"A toy dog, fine-boned, elegant and graceful. The distinct varieties are born in the same litter. The Hairless with hair only on the head, tail and feet and the Powderpuff, completely covered with hair. The breed serves as a loving companion, playful and entertaining."

Rottweiler,8,Working,9,10,23.0,26.0,87.5,117.5,Weekly Brushing,Agreeable,Reserved with Strangers,"The ideal Rottweiler is a medium large, robust and powerful dog, black with clearly defined rust markings. His compact and substantial build denotes great strength, agility and endurance. Dogs are characteristically more massive throughout with larger frame and heavier bone than bitches. Bitches are distinctly feminine, but without weakness of substance or structure."

Staffordshire Bull Terrier,80,Terrier,12,14,14,16,26.0,36.0,Weekly Brushing,May be Stubborn,Friendly,"The Staffordshire Bull Terrier is a smooth-coated dog. It should be of great strength for its size and, although muscular, should be active and agile."

Coton de Tulear,81,Non-Sporting,15,19,9.5,10.5,8.5,14.0,Daily Brushing,Easy Training,Outgoing,"The Coton de Tulear, also known as the &#8220;Royal Dog of Madagascar&#8221;, is a hardy, sturdy small white companion dog. The Coton de Tulear is characterized by a natural long, white, dry, profuse, cotton-like coat, rounded lively dark eyes, black on white joie de vivre expressive smile and witty personality. The breed is somewhat longer than tall. The topline is very slightly arched over the loin with a happily carried tail curved over the back on the move. At rest, the tail is down with an upward hook at the tip revealing the distinguishing outline of the Coton de Tulear."

Russell Terrier,82,Terrier,12,14,10,12,9,15,Weekly Brushing,Agreeable,Friendly,"The Russell Terrier is a strong, active, lithe, predominately white bodied working Terrier of character with a flexible body of moderate length and rectangular profile. The overall dog must present a balanced image with no one part exaggerated over another. The Russell Terrier is full of life, and moves with confidence that matches his keen expression. Coat may be smooth, broken or rough and may have tan and/or black markings with no preference for coat type or markings. Tail docking is optional."

Nova Scotia Duck Tolling Retriever,83,Sporting,12,14,17.5,20.5,35,50,Weekly Brushing,Easy Training,Friendly,"This medium sized, powerful, compact, balanced dog is the smallest of the retrievers. The Toller&#8217;s attitude and bearing suggest strength with a high degree of agility. He is alert, determined, and quick, with a keen desire to work and please."

Bouvier des Flandres,84,Herding,10,12,23.5,26.5,70,110,Daily Brushing,Agreeable,Alert/Responsive,"The Bouvier des Flandres is a powerfully built, compact, short-coupled, rough-coated dog of notably rugged appearance. He gives the impression of great strength without any sign of heaviness or clumsiness in his overall makeup. He is agile, spirited and bold, yet his serene, well behaved disposition denotes his steady, resolute and fearless character. His gaze is alert and brilliant, depicting his intelligence, vigor and daring. By nature he is an equable dog. His origin is that of a cattle herder and general farmer&#8217;s helper, including cart pulling."

American Staffordshire Terrier,85,Terrier,12,16,17.5,18.5,47.5,62.5,Occasional Bath/Brush,Agreeable,Alert/Responsive,

Rat Terrier,86,Terrier,12,18,,,10,25,Weekly Brushing,Easy Training,Friendly,"The Rat Terrier was originally bred for ratting and farm work. A multipurpose companion dog that is capable of hunting rodents and vermin above and below ground, and to course small game. He is a sturdy, compact, small-to-medium sized parti-colored dog giving the appearance of elegance and fitness, denoting speed, power and balance. Honorable scars or a couple of broken or missing canines or incisors teeth are not to be faulted. The following is a description of the ideal Rat Terrier. Variations are penalized to the extent of the deviation."

Basenji,87,Hound,13,14,,,,,Occasional Bath/Brush,Independent,Reserved with Strangers,"The Basenji is a small, short haired hunting dog from Africa. It is short backed and lightly built, appearing high on the leg compared to its length. The wrinkled head is proudly carried on a well arched neck and the tail is set high and curled. Elegant and graceful, the whole demeanor is one of poise and inquiring alertness. The balanced structure and the smooth musculature enable it to move with ease and agility. The Basenji hunts by both sight and scent. Characteristics-The Basenji should not bark but is not mute. The wrinkled forehead, tightly curled tail and swift, effortless gait (resembling a racehorse trotting full out) are typical of the breed. Faults-Any departure from the following points must be considered a fault, and the seriousness with which the fault is regarded is to be in exact proportion to its degree."

Border Terrier,88,Terrier,12,15,12,15,12.0,14.5,Weekly Brushing,Easy Training,Friendly,"He is an active terrier of medium bone, strongly put together, suggesting endurance and agility, but rather narrow in shoulder, body and quarter. The body is covered with a somewhat broken though close-fitting and intensely wiry jacket. The characteristic &#8220;otter&#8221; head with its keen eye, combined with a body poise which is &#8220;at the alert,&#8221; gives a look of fearless and implacable determination characteristic of the breed. Since the Border Terrier is a working terrier of a size to go to ground and able, within reason, to follow a horse, his conformation should be such that he be ideally built to do his job. No deviations from this ideal conformation should be permitted, which would impair his usefulness in running his quarry to earth and in bolting it therefrom. For this work he must be alert, active and agile, and capable of squeezing through narrow apertures and rapidly traversing any kind of terrain. His head, &#8220;like that of an otter,&#8221; is distinctive, and his temperament ideally exemplifies that of a terrier."

Standard Schnauzer,89,Working,13,16,17.5,18.5,32.5,47.5,2-3 Times a Week Brushing,Independent,Friendly,"The Standard Schnauzer is a robust, heavy-set dog, sturdily built with good muscle and plenty of bone; square-built in proportion of body length to height. His rugged build and dense harsh coat are accentuated by the hallmark of the breed, the arched eyebrows and the bristly mustache and whiskers."

German Shorthaired Pointer,9,Sporting,10,12,22.0,24.0,50.0,65.0,Weekly Brushing,Eager to Please,Friendly,"The German Shorthaired Pointer is a versatile hunter, an all-purpose gun dog capable of high performance in field and water. The judgment of Shorthairs in the show ring reflects this basic characteristic. The overall picture which is created in the observer&#8217;s eye is that of an aristocratic, well balanced, symmetrical animal with conformation indicating power, endurance and agility and a look of intelligence and animation. The dog is neither unduly small nor conspicuously large. It gives the impression of medium size, but is like the proper hunter, &#8220;with a short back, but standing over plenty of ground.&#8221; Symmetry and field quality are most essential."

Anatolian Shepherd Dog,90,Working,11,13,,,95.0,135.0,Weekly Brushing,Independent,Reserved with Strangers,"Large, rugged, powerful and impressive, possessing great endurance and agility. Developed through a set of very demanding circumstances for a purely utilitarian purpose; he is a working guard dog without equal, with a unique ability to protect livestock. General impression &#8211; Appears bold, but calm, unless challenged. He possesses size, good bone, a well-muscled torso with a strong head. Reserve out of its territory is acceptable. Fluid movement and even temperament is desirable."

Flat-Coated Retriever,91,Sporting,8,10,22.5,23.5,60,70,Weekly Brushing,Eager to Please,Friendly,"The distinctive and most important features of the Flat-Coat are the silhouette (both moving and standing), smooth effortless movement, head type, coat and character. In silhouette the Flat-Coat has a long, strong, clean, &#8220;one piece&#8221; head, which is unique to the breed. Free from exaggeration of stop or cheek, the head is set well into a moderately long neck which flows smoothly into well laid back shoulders. A level topline combined with a deep, long rib cage tapering to a moderate tuck-up create the impression of a blunted triangle. The brisket is well developed and the forechest forms a prominent prow. This utilitarian retriever is well balanced, strong, but elegant; never cobby, short legged or rangy. The coat is thick and flat lying, and the legs and tail are well feathered. A proud carriage, responsive attitude, waving tail and overall look of functional strength, quality, style and symmetry complete the picture of the typical Flat-Coat."

